"efo_id","disease_full_name","number_of_associations"
"Orphanet_254830","Mitochondrial substrate carrier disorder",697
"Orphanet_254920","Combined oxidative phosphorylation defect type 2",153
"Orphanet_79169","Disorder of neurotransmitter metabolism and transport",579
"Orphanet_139027","Malformation syndrome with skin/mucosae involvement",3684
"Orphanet_93976","Anotia",3
"Orphanet_262206","Partial duplication of chromosome 4",2
"Orphanet_3307","Tetrasomy 18p",1
"Orphanet_262211","Partial trisomy/tetrasomy of chromosome 5",191
"Orphanet_262749","Partial duplication of the short arm of chromosome 7",0
"Orphanet_96095","3q26 microduplication syndrome",3
"Orphanet_98131","Total autosomal trisomy",809
"Orphanet_1703","Mosaic trisomy 14",0
"Orphanet_1724","Mosaic trisomy 20",1
"Orphanet_96187","Maternal uniparental disomy of chromosome 21",0
"Orphanet_97678","Maternal uniparental disomy of chromosome 13",0
"Orphanet_96180","Maternal uniparental disomy of chromosome 4",0
"Orphanet_48652","Monosomy 22q13",148
"Orphanet_262119","Partial deletion of the long arm of chromosome 15",1046
"Orphanet_96129","Distal monosomy 19p13.3",0
"Orphanet_261836","Partial deletion of chromosome 18",85
"Orphanet_261279","17q23.1q23.2 microdeletion syndrome",25
"Orphanet_262056","Partial deletion of the long arm of chromosome 7",136
"Orphanet_1581","Non-distal monosomy 10q",0
"Orphanet_262038","Partial deletion of the long arm of chromosome 5",66
"Orphanet_314655","5q31.3 microdeletion syndrome",1
"Orphanet_261112","Monosomy 9p",4
"Orphanet_1445","Ring chromosome 21",3
"Orphanet_1448","Ring chromosome 6",1
"Orphanet_98156","Gonosome number anomaly",344
"Orphanet_263726","Partial deletion of chromosome X",40
"MONDO_0007631","chromosome 16p12.1 deletion syndrome, 520kb",0
"Orphanet_3305","Tetraploidy",63
"MONDO_0015193","hydrops fetalis (disease)",163
"MONDO_0020021","diaphragmatic or abdominal wall malformation",1825
"Orphanet_231742","Epibulbar lipodermoid - preauricular appendage - polythelia",0
"Orphanet_171719","Cutis laxa-Marfanoid syndrome",70
"Orphanet_79094","Grange syndrome",2
"Orphanet_2934","Polysyndactyly - cardiac malformation",11
"Orphanet_2513","Microcephaly - albinism - digital anomalies",12
"EFO_0009020","Aymé-Gripp syndrome",4
"Orphanet_97945","Intestinal malformation",2046
"Orphanet_1325","Camptodactyly - taurinuria",0
"Orphanet_295030","Congenital shoulder dislocation",0
"Orphanet_294944","Congenital deformities of limbs",229
"Orphanet_294953","Limb overgrowth",4
"Orphanet_295044","Macrodactyly of fingers",0
"Orphanet_2805","Partial pancreatic agenesis",237
"MONDO_0014946","Sifrim-Hitz-Weiss syndrome",16
"MONDO_0014008","phosphohydroxylysinuria",2
"MONDO_0030025","neurodevelopmental disorder with hypotonia, microcephaly, and seizures",1
"MONDO_0014347","short stature with microcephaly and distinctive facies",19
"MONDO_0033546","neurodegeneration, infantile-onset, biotin-responsive",0
"MONDO_0030073","Mitchell syndrome",0
"MONDO_0008630","urinary bladder, atony of",4
"MONDO_0020841","neurodevelopmental disorder with cerebellar atrophy and with or without seizures",2
"EFO_0010661","neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures",431
"GO_0009987","cellular process",34
"GO_0044260","cellular macromolecule metabolic process",0
"GO_1901293","nucleoside phosphate biosynthetic process",0
"GO_0009206","purine ribonucleoside triphosphate biosynthetic process",0
"GO_0009161","ribonucleoside monophosphate metabolic process",0
"GO_0010876","lipid localization",0
"HP_0002180","Neurodegeneration",1648
"EFO_0009708","metastasis",68
"EFO_0009462","granuloma",3
"EFO_0000544","infection",547
"EFO_0009463","infarction",0
"GO_0036271","response to methylphenidate",0
"EFO_0010152","response to phenylephrine",0
"EFO_0007923","response to terbinafine",0
"EFO_0007754","response to immunochemotherapy",0
"GO_0061476","response to anticoagulant",186
"EFO_0009167","response to warfarin",0
"EFO_0005533","response to non-steroidal anti-inflammatory",143
"EFO_0007647","response to vancomycin",0
"EFO_0006327","response to sertraline",0
"GO_0006970","response to osmotic stress",0
"EFO_0008397","response to disappointment",0
"EFO_0005403","response to dietary potassium supplementation",5
"GO_0055062","phosphate ion homeostasis",0
"EFO_0005880","lipid homeostasis",0
"EFO_0003046","heart transplant rejection",1
"Orphanet_225154","Familial infantile bilateral striatal necrosis",119
"GO_0050909","sensory perception of taste",24
"GO_0007586","digestion",4
"EFO_0004337","intelligence",1307
"EFO_0005300","word reading",0
"GO_1901135","carbohydrate derivative metabolic process",0
"EFO_0006820","complicated disease course",2
"EFO_0007755","atopic march",26
"GO_0010543","regulation of platelet activation",0
"GO_0035813","regulation of renal sodium excretion",0
"GO_0060455","negative regulation of gastric acid secretion",0
"GO_0060454","positive regulation of gastric acid secretion",0
"GO_0090257","regulation of muscle system process",0
"GO_0070094","positive regulation of glucagon secretion",0
"GO_0040012","regulation of locomotion",0
"EFO_0009834","respiratory process",2
"EFO_0009025","Bardet-Biedl syndrome 5",411
"Orphanet_320","Apparent mineralocorticoid excess",327
"Orphanet_289","Ellis Van Creveld syndrome",38
"Orphanet_2196","Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement",42
"Orphanet_199326","Isolated autosomal dominant hypomagnesemia, Glaudemans type",0
"Orphanet_93608","Autosomal dominant distal renal tubular acidosis",99
"Orphanet_437","Hypophosphatemic rickets",161
"MONDO_0000044","hereditary hypophosphatemic rickets",144
"Orphanet_220","Denys-Drash syndrome",21
"Orphanet_93560","Familial renal amyloidosis due to Apolipoprotein AI variant",1
"MONDO_0019263","autosomal erythropoietic protoporphyria",22
"Orphanet_308487","Generalized galactose epimerase deficiency",1
"Orphanet_1192","Atherosclerosis - deafness - diabetes - epilepsy - nephropathy",0
"Orphanet_52","Alagille syndrome",68
"EFO_1000409","Ossifying Renal Tumor of Infancy",4
"EFO_1000050","renal leiomyoma",62
"MONDO_0017043","congenital mesoblastic nephroma",24
"EFO_0005708","renal cell adenocarcinoma",3675
"MONDO_0018492","hereditary clear cell renal cell carcinoma",1
"MONDO_0003789","hereditary papillary renal cell carcinoma",5
"MONDO_0019004","kidney Wilms tumor",182
"MONDO_0003443","papillary urothelial neoplasm",28
"EFO_1001443","Tuberculosis, Cutaneous",25
"MONDO_0000625","benign male reproductive system neoplasm",6
"MONDO_0008170","ovarian cancer",5371
"MONDO_0003035","ovarian angiosarcoma",1
"EFO_1000166","Cervical Intraepithelial Neoplasia Grade 2/3",8
"EFO_1001952","endometrial adenosquamous carcinoma",28
"EFO_0005232","endometrium adenocarcinoma",1028
"EFO_1000919","endometrial stromal sarcoma",193
"MONDO_0002974","cervical cancer",3113
"EFO_1000298","Hydatidiform Mole",299
"EFO_1000115","Benign Ovarian Mucinous Tumor",8
"EFO_1001757","Adenomyosis",258
"MONDO_0016784","gestational trophoblastic disease",457
"EFO_0001663","prostate carcinoma",6264
"MONDO_0004671","penis carcinoma in situ",1
"EFO_0010269","amenorrhea",159
"Orphanet_9","Tetrasomy X",0
"Orphanet_3375","Trisomy X",24
"MONDO_0018555","hypogonadotropic hypogonadism",2887
"Orphanet_2250","Hyposmia - nasal and ocular hypoplasia - hypogonadotropic hypogonadism",4
"Orphanet_2230","Hypogonadotropic hypogonadism - frontoparietal alopecia",0
"Orphanet_325546","Sex chromosome disorder of sex development",370
"Orphanet_755","Leydig cell hypoplasia",89
"Orphanet_325511","46,XY disorder of sex development due to cholesterol synthesis defect",40
"Orphanet_98086","46,XY disorder of sex development due to a defect in testosterone metabolism by peripheral tissue",1
"Orphanet_178040","Peripheral precocious puberty",184
"Orphanet_400025","Female infertility due to an implantation defect of genetic origin",102
"Orphanet_2234","Male hypergonadotropic hypogonadism - intellectual disability - skeletal anomalies",95
"Orphanet_399805","Male infertility with azoospermia or oligozoospermia due to single gene mutation",919
"EFO_0000279","azoospermia",1551
"MONDO_0004593","Bartholin duct cyst",0
"EFO_0009548","fallopian tube disease",381
"Orphanet_238744","Mammary-digital-nail syndrome",2
"EFO_0010646","genetic non-acquired premature ovarian failure",36
"EFO_1000935","female genital tuberculosis",3
"EFO_1000241","Endometrial Stromal Nodule",13
"MONDO_0021682","viral sexually transmitted disease",2280
"EFO_0007282","genital herpes",51
"EFO_0000764","HIV infection",2412
"EFO_0009555","male reproductive system disease",9124
"EFO_1001140","pyelitis",261
"MONDO_0002331","nephrosis",1326
"EFO_0000404","diffuse scleroderma",79
"MONDO_0000490","glomerulosclerosis",1469
"EFO_0004236","focal segmental glomerulosclerosis",1116
"MONDO_0001784","malignant renovascular hypertension",2
"EFO_1000794","acute kidney tubular necrosis",127
"EFO_0007249","emphysematous cholecystitis",0
"Orphanet_167","Chédiak-Higashi syndrome",295
"MONDO_0032899","neutropenia, severe congenital, 8, autosomal dominant",17
"Orphanet_331176","Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency",148
"MONDO_0014757","macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome",305
"Orphanet_248340","Isolated delta-storage pool disease",0
"Orphanet_220443","Bleeding diathesis due to thromboxane synthesis deficiency",95
"Orphanet_370127","Medich giant platelet syndrome",0
"MONDO_0011837","vitamin K-dependent clotting factors, combined deficiency of, type 2",1
"MONDO_0021133","acquired factor XIII deficiency",1
"Orphanet_98878","Hemophilia A",113
"Orphanet_247378","Autosomal recessive secondary polycythemia not associated with VHL gene",0
"EFO_1001316","Eosinophilia-Myalgia Syndrome",7
"Orphanet_48818","Aceruloplasminemia",156
"Orphanet_90045","Hereditary folate malabsorption",24
"Orphanet_822","Hereditary spherocytosis",53
"Orphanet_811","Shwachman-Diamond syndrome",245
"Orphanet_275749","Beta-thalassemia and related diseases",965
"Orphanet_231242","Hemoglobin C - beta-thalassemia",0
"MONDO_0044349","acquired hemoglobinopathy",2
"Orphanet_293825","Congenital dyserythropoietic anemia type IV",201
"EFO_1000969","hyperamylasemia",32
"MONDO_0020082","dendritic cell tumor",440
"EFO_0005287","reticulum cell sarcoma",277
"EFO_1001933","adult acute monocytic leukemia",152
"MONDO_0036870","lymphatic vessel neoplasm",262
"MONDO_0006412","sinus histiocytosis with massive lymphadenopathy",25
"Orphanet_238505","Autosomal recessive lymphoproliferative disease",473
"MONDO_0020511","precursor B-cell acute lymphoblastic leukemia",206
"EFO_1000156","Central Nervous System Anaplastic Large Cell Lymphoma",3
"EFO_1000591","Thyroid Gland Mucosa-Associated Lymphoid Tissue Lymphoma",7
"EFO_0007492","splenic tuberculosis",0
"EFO_1001332","Giant Lymph Node Hyperplasia",3
"EFO_0007272","filarial elephantiasis",54
"EFO_0007195","cat-scratch disease",9
"MONDO_0019460","acute leukemia of ambiguous lineage",2148
"EFO_1000286","Granulocytic Sarcoma",32
"EFO_0003026","minimally differentiated acute myeloblastic leukemia",48
"MONDO_0001023","prolymphocytic leukemia",212
"MONDO_0002588","thymoma type A",19
"MONDO_0003159","vascular hemostatic disease",81
"MONDO_0002280","anemia (disease)",5648
"EFO_0007388","myelophthisic anemia",5
"MONDO_0001245","microcytic anemia",590
"MONDO_0003393","thymus gland disease",907
"EFO_1001929","selective IgA deficiency disease",72
"MONDO_0043364","eosinophil peroxidase deficiency",24
"MONDO_0044972","eosinophil disease",141
"Orphanet_379","Chronic granulomatous disease",556
"EFO_0009521","dislocation",332
"EFO_0003958","sunburn",296
"EFO_0003964","hip fracture",152
"EFO_1001095","peptic esophagitis",88
"MONDO_0045028","radiation or chemically induced disorder",183
"MONDO_0021046","breast fibroepithelial neoplasm",116
"MONDO_0007254","breast cancer",9157
"EFO_1000019","breast synovial sarcoma",0
"EFO_1000984","inflammatory breast carcinoma",155
"MONDO_0021116","luminal A breast carcinoma",0
"EFO_1000649","estrogen-receptor positive breast cancer",318
"Orphanet_44","Neonatal adrenoleukodystrophy",110
"EFO_1001103","persistent fetal circulation syndrome",107
"MONDO_0018614","undetermined early-onset epileptic encephalopathy",13
"Orphanet_3402","Transient tyrosinemia of the newborn",0
"Orphanet_56304","Atelosteogenesis type II",110
"MONDO_0024664","hypertension, pregnancy-induced",1696
"MONDO_0001641","severe pre-eclampsia",691
"EFO_0009681","post term pregnancy",35
"Orphanet_65682","Benign recurrent intrahepatic cholestasis",106
"MONDO_0024458","disease of visual system",10704
"MONDO_0004746","myopathy of extraocular muscle",138
"Orphanet_1876","Oculogastrointestinal muscular dystrophy",6
"Orphanet_98570","Congenital ectropion",92
"Orphanet_98564","Eyelid border anomaly",261
"Orphanet_98566","Syndromic palpebral coloboma",216
"Orphanet_293822","MITF-related melanoma and renal cell carcinoma predisposition syndrome",2
"Orphanet_579","Mucopolysaccharidosis type 1",103
"Orphanet_565","Menkes disease",278
"Orphanet_2222","Hypertrichosis lanuginosa congenita",2
"Orphanet_98602","Rare lacrimal system disease",818
"Orphanet_98609","EEC syndrome and related syndrome",231
"Orphanet_2363","Lacrimoauriculodentodigital syndrome",8
"Orphanet_98603","Secretory apparatus of the lacrimal system anomaly",355
"Orphanet_869","Triple A syndrome",22
"Orphanet_248","Autosomal recessive hypohidrotic ectodermal dysplasia",32
"MONDO_0004751","disease of orbital part of eye adnexa",3
"Orphanet_98943","Coloboma of eye lens",0
"EFO_0003839","retinopathy",6422
"MONDO_0004580","retinal degeneration",5415
"Orphanet_319640","Retinal macular dystrophy type 2",215
"Orphanet_52427","Retinitis punctata albescens",10
"Orphanet_99004","Fundus pulverulentus",0
"Orphanet_59181","Sorsby's fundus dystrophy",65
"Orphanet_351","Galactosialidosis",13
"Orphanet_1871","Progressive cone dystrophy",185
"Orphanet_791","Retinitis pigmentosa",3075
"Orphanet_3085","Retinitis pigmentosa - intellectual disability - deafness - hypogenitalism",46
"Orphanet_171848","Polyneuropathy - hearing loss - ataxia - retinitis pigmentosa - cataract",17
"Orphanet_180","Choroideremia",80
"Orphanet_75374","Bradyopsia",12
"EFO_0005581","red-green color blindness",6
"EFO_1001028","macular holes",210
"EFO_1001070","ocular tuberculosis",2
"MONDO_0007289","cataract 13 with adult I phenotype",177
"Orphanet_98989","Cerulean cataract",208
"Orphanet_1069","Aniridia - absent patella",5
"Orphanet_35173","X-linked dominant chondrodysplasia punctata",96
"Orphanet_98652","Lens size anomaly",120
"Orphanet_99012","Autosomal recessive optic atrophy, OPA6 type",4
"MONDO_0012676","autosomal recessive osteopetrosis 4",114
"Orphanet_2484","Osteodysplasty, Melnick-Needles type",16
"Orphanet_2875","Phakomatosis pigmentovascularis",4
"Orphanet_98632","Glaucoma associated with neural crest cell migration anomaly",534
"Orphanet_352731","Oculocutaneous albinism type 1",42
"Orphanet_352734","Minimal pigment oculocutaneous albinism type 1",1
"Orphanet_352745","Oculocutaneous albinism type 7",6
"Orphanet_79408","Severe generalized recessive dystrophic epidermolysis bullosa",10
"Orphanet_257","Epidermolysis bullosa simplex with muscular dystrophy",71
"Orphanet_98699","Syndromic ichthyosis associated with ocular features",560
"Orphanet_35125","Epidermal nevus syndrome",7
"Orphanet_98907","Dorfman-Chanarin disease",26
"Orphanet_254803","Mitochondrial DNA depletion syndrome, encephalomyopathic form",209
"Orphanet_254875","Mitochondrial DNA depletion syndrome, myopathic form",32
"Orphanet_845","Tay-Sachs disease",26
"Orphanet_309185","Tay-Sachs disease, B variant, juvenile form",0
"Orphanet_588","Muscle-eye-brain disease",163
"Orphanet_2710","Oculodentodigital dysplasia",20
"Orphanet_2709","Oculodental syndrome, Rutherfurd type",19
"Orphanet_233","Duane retraction syndrome",26
"Orphanet_98756","Spinocerebellar ataxia type 2",80
"Orphanet_94148","Autosomal dominant cerebellar ataxia type 3",85
"Orphanet_1766","Dysequilibrium syndrome",331
"Orphanet_88644","Autosomal recessive ataxia, Beauce type",16
"EFO_0009055","RIDDLE syndrome",58
"Orphanet_94124","Spinocerebellar ataxia type 1 with axonal neuropathy",478
"MONDO_0033043","spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",2
"Orphanet_363429","Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome",4
"MONDO_0002970","ciliary body disease",6
"MONDO_0000733","cornea plana",43
"EFO_1001073","optic nerve neoplasm",22
"EFO_0007331","islet cell tumor",1319
"Orphanet_1667","Wolcott-Rallison syndrome",23
"Orphanet_66518","Short fifth metacarpals - insulin resistance",0
"Orphanet_228429","Generalized congenital lipodystrophy with myopathy",117
"Orphanet_276525","Familial hyperinsulinism",619
"Orphanet_86923","Hereditary palmoplantar keratoderma, Gamborg-Nielsen type",85
"Orphanet_307766","Curly hair-acral keratoderma-caries syndrome",0
"Orphanet_86918","Diffuse palmoplantar keratoderma-acrocyanosis syndrome",0
"Orphanet_50944","Schöpf-Schulz-Passarge syndrome",25
"Orphanet_307837","Focal palmoplantar keratoderma",154
"EFO_1000663","acquired keratosis",1
"Orphanet_169","Ringed hair disease",31
"Orphanet_2273","Ichthyosis follicularis - alopecia - photophobia",103
"MONDO_0021208","endocrine alopecia",197
"MONDO_0013017","hypotrichosis 5",109
"Orphanet_79365","Hypertrichosis",284
"Orphanet_841","Sebocystomatosis",4
"EFO_1000702","folliculitis",112
"EFO_1000671","bacterial exanthem",0
"MONDO_0024414","anaerobic cellulitis",0
"MONDO_0024610","parasitic skin disease",391
"EFO_0007526","trombiculiasis",0
"EFO_0007509","tick paralysis",2
"MONDO_0019546","other acquired skin disease",73
"EFO_1000724","lichen disease",544
"MONDO_0007902","lichen planus, familial",24
"EFO_0008601","pemphigus foliaceus",86
"EFO_0004719","pemphigus vulgaris",250
"EFO_0008606","pemphigus herpetiformis",6
"EFO_0008612","vegetating cicatricial pemphigoid",0
"Orphanet_158673","Acral dystrophic epidermolysis bullosa",0
"Orphanet_2908","Kindler syndrome",15
"Orphanet_158684","Epidermolysis bullosa simplex with pyloric atresia",35
"EFO_1000767","skin sarcoidosis",16
"Orphanet_90280","Chilblain lupus",53
"EFO_0007237","dipetalonemiasis",0
"Orphanet_79085","Familial partial lipodystrophy due to AKT2 mutations",0
"MONDO_0013572","Keppen-Lubinsky syndrome",7
"EFO_0009373","edema",1249
"EFO_1000722","Kimura disease",24
"EFO_0004775","toxic epidermal necrolysis",150
"EFO_0010687","neonatal erythema toxicum",113
"EFO_1000732","mediastinal lipomatosis",0
"Orphanet_2731","Taurodontia - absent teeth - sparse hair",48
"Orphanet_3354","Tricho-oculo-dermo-vertebral syndrome",27
"Orphanet_2315","Johanson-Blizzard syndrome",20
"Orphanet_69082","Odonto-tricho-ungual-digito-palmar syndrome",57
"Orphanet_2267","Ichthyosis-cheek-eyebrow syndrome",21
"Orphanet_79504","Ichthyosis hystrix gravior",2
"MONDO_0054852","peeling skin syndrome 6",34
"Orphanet_263534","Acral peeling skin syndrome",77
"MONDO_0016434","acquired dermis elastic tissue disorder",4
"Orphanet_53296","Familial cutaneous collagenoma",3
"Orphanet_91135","Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency",14
"Orphanet_82004","Ehlers-Danlos syndrome with periventricular heterotopia",0
"Orphanet_93360","Spondyloepimetaphyseal dysplasia with multiple dislocations",14
"Orphanet_306539","Hereditary acrokeratotic poikiloderma of Kindler-Weary",15
"MONDO_0044794","benign melanocytic skin nevus",19
"MONDO_0045070","digestive system melanoma",4
"MONDO_0002416","ethmoid sinus squamous cell carcinoma",0
"EFO_0006352","laryngeal squamous cell carcinoma",681
"EFO_1000514","Salivary Gland Adenosquamous Carcinoma",0
"EFO_1001965","pharyngeal squamous cell carcinoma",498
"MONDO_0004093","esophageal basaloid carcinoma",1
"MONDO_0056815","liver adenosquamous carcinoma",1
"EFO_1000530","Skin Cavernous Hemangioma",1
"EFO_1000925","epithelioid and spindle cell nevus",0
"EFO_0000676","psoriasis",5535
"MONDO_0023297","guttate psoriasis",16
"EFO_1000664","acrodermatitis",23
"EFO_1000764","seborrheic dermatitis",144
"MONDO_0019294","mixed dermis disorder",547
"MONDO_0004698","intestine carcinoma in situ",0
"MONDO_0024292","gastrointestinal polyp",156
"EFO_1000310","Juvenile Polyp",31
"Orphanet_329324","Inverse Klippel-Trénaunay syndrome",0
"EFO_0006890","fibrosis",4238
"EFO_1001486","primary biliary cirrhosis",847
"MONDO_0002366","autonomic nervous system neoplasm",999
"EFO_0000500","ganglioneuroma",105
"MONDO_0021451","benign neoplasm of brain",67
"MONDO_0021633","cerebral astrocytoma",6
"MONDO_0017582","pituitary adenocarcinoma (disease)",46
"EFO_1000026","diffuse intrinsic pontine glioma",239
"MONDO_0002749","extracranial neuroblastoma",96
"MONDO_0016692","pilomyxoid astrocytoma",13
"MONDO_0016697","low grade ependymoma",69
"MONDO_0020687","supratentorial ependymal tumor",28
"EFO_0003851","meningeal neoplasm",1265
"EFO_1001012","leptomeningeal metastasis",47
"MONDO_0020634","grade III meningioma",29
"EFO_1000449","Papillary Meningioma",9
"MONDO_0016752","benign peripheral nerve sheath tumor",396
"MONDO_0024470","benign chondrogenic neoplasm",170
"MONDO_0002360","chondroma",55
"EFO_1000481","Plantar Fibromatosis",12
"MONDO_0007608","desmoid tumor",66
"MONDO_0005094","hemangiopericytoma",14
"MONDO_0020561","myxoid/round cell liposarcoma",122
"EFO_0003084","round cell liposarcoma",28
"EFO_1000099","Atypical Lipomatous Tumor",313
"MONDO_0003061","benign muscle neoplasm",1019
"MONDO_0002368","papillary serous cystadenocarcinoma",38
"MONDO_0021462","benign neoplasm of rectum",0
"EFO_1000399","Non-Functioning Adrenal Cortex Adenoma",10
"MONDO_0000650","peritoneal benign neoplasm",56
"EFO_0000702","small cell lung carcinoma",2806
"MONDO_0024501","appendix neuroendocrine neoplasm",16
"MONDO_0000386","digestive system neuroendocrine tumor, grade 1/2",1331
